feature,dtype,rows,non_null,missing,missing_rate,inf_count,unique_count,variance,zero_variance
ngrams_3_top1_count,int64,72603,72603,0,0.0,0,5257,1182822.2244035827,False
ngrams_3_top1_frac,float64,72603,72603,0,0.0,0,61120,0.007773800353434947,False
ngrams_3_top2_count,int64,72603,72603,0,0.0,0,4493,786012.0604921932,False
ngrams_3_top2_frac,float64,72603,72603,0,0.0,0,61727,0.002128789220019378,False
ngrams_3_top3_count,int64,72603,72603,0,0.0,0,4413,761766.117319328,False
ngrams_3_top3_frac,float64,72603,72603,0,0.0,0,62553,0.002797795553972261,False
ngrams_3_top4_count,int64,72603,72603,0,0.0,0,2315,135749.81792873776,False
ngrams_3_top4_frac,float64,72603,72603,0,0.0,0,63242,0.002185255809605973,False
ngrams_3_top5_count,int64,72603,72603,0,0.0,0,961,12948.82965770053,False
ngrams_3_top5_frac,float64,72603,72603,0,0.0,0,54726,0.00029666795500242336,False
ngrams_4_unique,int64,72603,72603,0,0.0,0,15,0.9401018504301155,False
ngrams_4_total_occurrences,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_4_entropy,float64,72603,72603,0,0.0,0,72601,0.16505245687556494,False
ngrams_4_mean_count,float64,72603,72603,0,0.0,0,14200,43559.04137433361,False
ngrams_4_std_count,float64,72603,72603,0,0.0,0,72049,119640.33812202916,False
ngrams_4_max_count,int64,72603,72603,0,0.0,0,4684,939604.5369547134,False
ngrams_4_min_count,int64,72603,72603,0,0.0,0,142,157.46632829690537,False
ngrams_4_possible_windows,int64,72603,72603,0,0.0,0,11742,10174310.460575737,False
ngrams_4_sparsity,float64,72603,72603,0,0.0,0,14200,0.0002784721332753272,False
ngrams_4_topk_cumfrac,float64,72603,72603,0,0.0,0,64377,0.0034049646166219596,False
ngrams_4_top1_count,int64,72603,72603,0,0.0,0,4684,939604.5369547134,False
ngrams_4_top1_frac,float64,72603,72603,0,0.0,0,62293,0.010044106196892427,False
ngrams_4_top2_count,int64,72603,72603,0,0.0,0,4341,707511.5928557892,False
ngrams_4_top2_frac,float64,72603,72603,0,0.0,0,62460,0.0022242669673315832,False
ngrams_4_top3_count,int64,72603,72603,0,0.0,0,4152,638077.4532100381,False
ngrams_4_top3_frac,float64,72603,72603,0,0.0,0,62957,0.0024130190453687007,False
ngrams_4_top4_count,int64,72603,72603,0,0.0,0,2115,105119.90384707804,False
ngrams_4_top4_frac,float64,72603,72603,0,0.0,0,62098,0.0021603647338691596,False
ngrams_4_top5_count,int64,72603,72603,0,0.0,0,1987,86012.5329894002,False
ngrams_4_top5_frac,float64,72603,72603,0,0.0,0,60809,0.002232477119517273,False
transition_p1_to_m1,int64,72603,72603,0,0.0,0,5235,1098809.0310494213,False
transition_m1_to_p1,int64,72603,72603,0,0.0,0,5258,1098744.7554895417,False
transition_p1_to_p1,int64,72603,72603,0,0.0,0,5111,1160518.5434278562,False
transition_m1_to_m1,int64,72603,72603,0,0.0,0,2713,404328.2802776693,False
transition_rate,float64,72603,72603,0,0.0,0,64096,0.009871519083697095,False
entropy,float64,72603,72603,0,0.0,0,61620,0.011615754531852224,False
concentration_25pct,float64,72603,72603,0,0.0,0,56547,0.014222462951027713,False
concentration_10pct,float64,72603,72603,0,0.0,0,53505,0.0004902661407808933,False
