fold,site_label,n_queries,xgb_accuracy,ltd_accuracy,ltd_only_rescues,xgb_only_correct,both_wrong,mean_xgb_true_rank,mean_ltd_true_rank
B_EARLY_MIDDLE_TO_LATE,42,270,0.8555555555555555,0.7481481481481481,15,44,24,1.2407407407407407,1.348148148148148
B_EARLY_MIDDLE_TO_LATE,43,286,0.8601398601398601,0.6923076923076923,15,63,25,1.1713286713286712,1.5314685314685315
B_EARLY_MIDDLE_TO_LATE,45,270,0.6296296296296297,0.6962962962962963,53,35,47,1.7703703703703704,1.7481481481481482
B_EARLY_MIDDLE_TO_LATE,46,218,0.5045871559633027,0.22477064220183487,14,75,94,1.8211009174311927,2.697247706422018
B_EARLY_MIDDLE_TO_LATE,47,306,0.7777777777777778,0.5915032679738562,19,76,49,1.3431372549019607,1.7483660130718954
B_EARLY_MIDDLE_TO_LATE,48,253,0.1067193675889328,0.09090909090909091,10,14,216,4.059288537549407,4.324110671936759
B_EARLY_MIDDLE_TO_LATE,50,303,0.2838283828382838,0.3201320132013201,38,27,179,5.023102310231023,4.085808580858086
B_EARLY_MIDDLE_TO_LATE,51,255,0.8784313725490196,0.8235294117647058,10,24,21,1.2980392156862746,1.3176470588235294
B_EARLY_MIDDLE_TO_LATE,52,301,0.8172757475083057,0.8272425249169435,21,18,34,1.6744186046511629,1.5714285714285714
B_EARLY_MIDDLE_TO_LATE,53,302,0.9238410596026491,0.956953642384106,19,9,4,1.1655629139072847,1.096026490066225
B_EARLY_MIDDLE_TO_LATE,54,303,0.900990099009901,0.8712871287128713,14,23,16,1.2079207920792079,1.5412541254125414
B_EARLY_MIDDLE_TO_LATE,55,289,0.8650519031141869,0.7993079584775087,17,36,22,1.3667820069204153,1.4359861591695502
B_EARLY_MIDDLE_TO_LATE,57,245,0.24081632653061225,0.20408163265306123,31,40,155,5.093877551020408,6.036734693877551
B_EARLY_MIDDLE_TO_LATE,6,283,0.8586572438162544,0.7314487632508834,10,46,30,1.8197879858657244,1.7809187279151943
B_EARLY_MIDDLE_TO_LATE,60,303,0.8250825082508251,0.8217821782178217,27,28,26,1.2937293729372936,1.2904290429042904
B_EARLY_MIDDLE_TO_LATE,61,302,0.890728476821192,0.8211920529801324,8,29,25,1.2516556291390728,1.4403973509933774
B_EARLY_MIDDLE_TO_LATE,63,303,0.9075907590759076,0.8217821782178217,4,30,24,1.4422442244224423,1.4554455445544554
B_EARLY_MIDDLE_TO_LATE,68,302,0.6456953642384106,0.5827814569536424,23,42,84,2.043046357615894,2.142384105960265
B_EARLY_MIDDLE_TO_LATE,7,303,0.9570957095709571,0.9207920792079208,4,15,9,1.1254125412541254,1.297029702970297
B_EARLY_MIDDLE_TO_LATE,71,305,0.6754098360655738,0.9606557377049181,87,0,12,2.580327868852459,1.137704918032787
B_EARLY_MIDDLE_TO_LATE,72,282,0.8333333333333334,0.7375886524822695,9,36,38,1.4219858156028369,1.8191489361702127
B_EARLY_MIDDLE_TO_LATE,76,270,0.7851851851851852,0.7592592592592593,24,31,34,1.525925925925926,1.5851851851851853
B_EARLY_MIDDLE_TO_LATE,77,290,0.15517241379310345,0.4724137931034483,113,21,132,5.589655172413793,2.7379310344827585
B_EARLY_MIDDLE_TO_LATE,78,306,0.8398692810457516,0.8856209150326797,30,16,19,1.3333333333333333,1.2254901960784315
B_EARLY_MIDDLE_TO_LATE,80,309,0.7152103559870551,0.8058252427184466,61,33,27,1.6148867313915858,1.5663430420711975
B_EARLY_MIDDLE_TO_LATE,81,258,0.8372093023255814,0.8449612403100775,13,11,29,1.496124031007752,1.4069767441860466
B_EARLY_MIDDLE_TO_LATE,86,300,0.6933333333333334,0.37,26,123,66,1.3966666666666667,2.033333333333333
B_EARLY_MIDDLE_TO_LATE,89,307,0.8078175895765473,0.7296416938110749,23,47,36,1.5537459283387622,2.185667752442997
B_EARLY_MIDDLE_TO_LATE,9,303,0.8778877887788779,0.8514851485148515,19,27,18,1.2673267326732673,1.2937293729372936
B_EARLY_MIDDLE_TO_LATE,90,300,0.9133333333333333,0.8566666666666667,10,27,16,1.2733333333333334,1.2233333333333334
B_EARLY_MIDDLE_TO_LATE,92,216,0.8287037037037037,0.8194444444444444,20,22,17,1.2916666666666667,1.2638888888888888
B_EARLY_MIDDLE_TO_LATE,96,286,0.8391608391608392,0.6433566433566433,7,63,39,1.493006993006993,2.027972027972028
B_EARLY_MIDDLE_TO_LATE,97,290,0.5275862068965518,0.7,77,27,60,1.610344827586207,1.4655172413793103
B_EARLY_MIDDLE_TO_LATE,98,306,0.9575163398692811,0.9673202614379085,8,5,5,1.1111111111111112,1.0947712418300655
