fold,prototype_type,query_type,distance_metric,site_label,n_queries,top1_accuracy,top5_accuracy,mrr,mean_true_rank
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,11,14,0.8571428571428571,0.9285714285714286,0.8880952380952382,1.7857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,110,14,0.7857142857142857,0.8571428571428571,0.8273809523809523,2.2857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,113,14,0.6428571428571429,0.9285714285714286,0.7544642857142857,2.5714285714285716
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,117,14,0.42857142857142855,1.0,0.7142857142857143,1.5714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,12,14,0.21428571428571427,0.6428571428571429,0.3822817049525124,8.214285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,14,14,0.6428571428571429,0.9285714285714286,0.7678571428571429,1.8571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,18,14,0.21428571428571427,0.9285714285714286,0.5202380952380953,2.5714285714285716
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,2,14,0.8571428571428571,1.0,0.9166666666666667,1.2142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,21,14,0.8571428571428571,0.9285714285714286,0.888888888888889,1.7142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,24,14,0.8571428571428571,1.0,0.8988095238095237,1.3571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,25,14,0.7857142857142857,0.8571428571428571,0.8398268398268397,2.142857142857143
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,27,14,0.7857142857142857,0.7857142857142857,0.8008737585943468,3.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,28,14,0.14285714285714285,0.14285714285714285,0.20413496538966466,15.142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,29,14,0.14285714285714285,0.14285714285714285,0.17261574336816668,25.357142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,31,14,0.8571428571428571,1.0,0.9071428571428571,1.3571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,34,14,0.6428571428571429,0.8571428571428571,0.7309523809523809,2.7857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,35,14,0.6428571428571429,0.9285714285714286,0.7959183673469388,1.7142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,36,14,0.7857142857142857,0.9285714285714286,0.865079365079365,1.7142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,37,14,0.35714285714285715,0.9285714285714286,0.6031135531135531,2.7857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,39,14,0.7857142857142857,1.0,0.8357142857142856,1.7142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,40,14,0.35714285714285715,0.7857142857142857,0.5669488169488169,5.357142857142857
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,41,14,0.9285714285714286,1.0,0.9523809523809524,1.1428571428571428
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,42,14,0.2857142857142857,1.0,0.619047619047619,1.8571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,43,14,1.0,1.0,1.0,1.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,45,14,0.21428571428571427,0.42857142857142855,0.3422770774976657,9.642857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,46,14,0.42857142857142855,0.9285714285714286,0.6666666666666666,2.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,47,14,0.42857142857142855,0.9285714285714286,0.6466165413533834,3.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,48,14,0.0,0.07142857142857142,0.09773374384718922,11.428571428571429
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,50,14,0.35714285714285715,1.0,0.6011904761904762,2.2142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,51,14,0.7857142857142857,1.0,0.875,1.3571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,52,14,0.5714285714285714,1.0,0.719047619047619,2.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,53,14,0.9285714285714286,0.9285714285714286,0.9404761904761906,1.3571428571428572
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,54,14,0.5714285714285714,1.0,0.7857142857142857,1.4285714285714286
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,55,14,0.5,0.8571428571428571,0.6517857142857143,2.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,57,14,0.0,0.0,0.07386712260661842,14.571428571428571
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,6,14,0.5714285714285714,0.7857142857142857,0.6560374149659864,2.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,60,14,0.07142857142857142,0.14285714285714285,0.18006061398918546,10.857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,61,14,0.9285714285714286,1.0,0.9642857142857143,1.0714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,63,14,0.21428571428571427,1.0,0.44523809523809516,3.0714285714285716
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,68,14,0.5714285714285714,0.9285714285714286,0.7602040816326531,1.7857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,7,14,0.7142857142857143,0.8571428571428571,0.8001200480192077,2.7142857142857144
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,71,14,0.6428571428571429,0.6428571428571429,0.6483516483516484,23.857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,72,14,0.7857142857142857,1.0,0.8928571428571429,1.2142857142857142
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,76,14,0.5,0.7857142857142857,0.6363945578231293,3.0
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,77,14,0.21428571428571427,0.21428571428571427,0.22716690589509198,48.142857142857146
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,78,14,0.14285714285714285,0.5,0.32103174603174606,5.571428571428571
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,80,14,0.21428571428571427,0.35714285714285715,0.30523140409008237,12.857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,81,14,0.8571428571428571,1.0,0.9107142857142857,1.2857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,86,14,0.5714285714285714,1.0,0.7619047619047619,1.5714285714285714
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,89,14,0.21428571428571427,0.6428571428571429,0.4175170068027211,4.285714285714286
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,9,14,0.42857142857142855,0.7857142857142857,0.6123281480424337,3.9285714285714284
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,90,14,0.7857142857142857,1.0,0.8595238095238095,1.5
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,92,14,0.7142857142857143,1.0,0.7916666666666666,1.7857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,96,14,0.35714285714285715,0.7857142857142857,0.5490079365079364,3.2857142857142856
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,97,14,0.8571428571428571,1.0,0.9047619047619048,1.2857142857142858
A_EARLY_TO_MIDDLE,daily_balanced_median,daily_profile,euclidean,98,14,0.5,0.8571428571428571,0.6827731092436975,2.9285714285714284
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,0,271,0.2066420664206642,0.6273062730627307,0.38826632456389104,6.328413284132841
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,10,302,0.1390728476821192,0.4370860927152318,0.2849768621124435,11.539735099337749
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,102,299,0.2408026755852843,0.5719063545150501,0.3931599557597973,6.394648829431438
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,104,304,0.0625,0.19078947368421054,0.15571746441979456,22.19078947368421
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,105,305,0.006557377049180328,0.639344262295082,0.23855847249289874,5.537704918032787
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,106,282,0.0851063829787234,0.7304964539007093,0.3533781328994095,4.290780141843972
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,107,266,0.13157894736842105,0.41353383458646614,0.2823647367798933,9.511278195488721
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,108,279,0.7275985663082437,0.7347670250896058,0.7389118318948102,9.580645161290322
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,109,292,0.2054794520547945,0.660958904109589,0.4030342089417432,4.657534246575342
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,11,285,0.5473684210526316,0.6982456140350877,0.6208696647451966,7.764912280701754
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,110,223,0.22869955156950672,0.757847533632287,0.398238322517879,5.789237668161435
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,113,307,0.15960912052117263,0.3941368078175896,0.28918986630437993,7.970684039087948
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,117,305,0.33114754098360655,1.0,0.6453551912568305,1.7901639344262295
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,12,304,0.003289473684210526,0.125,0.09937802603297809,22.851973684210527
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,14,265,0.18490566037735848,0.4830188679245283,0.3344351794364589,11.233962264150943
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,18,304,0.13486842105263158,0.4243421052631579,0.2901218081828293,16.63157894736842
B_EARLY_MIDDLE_TO_LATE,capture_median,capture,cosine,2,298,0.02348993288590604,0.8590604026845637,0.3886818718194557,3.469798657718121
