fold,site_label,n,v2_accuracy,age_accuracy,delta_accuracy,age_only_correct_n,v2_only_correct_n
B_EARLY_MIDDLE_TO_LATE,54,303,0.9273927392739274,0.9207920792079208,-0.0066006600660065695,1,3
B_EARLY_MIDDLE_TO_LATE,55,289,0.9065743944636678,0.8927335640138409,-0.01384083044982698,1,5
B_EARLY_MIDDLE_TO_LATE,57,245,0.1836734693877551,0.13877551020408163,-0.04489795918367348,1,12
B_EARLY_MIDDLE_TO_LATE,6,283,0.8445229681978799,0.8692579505300353,0.02473498233215543,9,2
B_EARLY_MIDDLE_TO_LATE,60,303,0.8613861386138614,0.8646864686468647,0.0033003300330033403,3,2
B_EARLY_MIDDLE_TO_LATE,61,302,0.9039735099337748,0.9072847682119205,0.0033112582781457123,5,4
B_EARLY_MIDDLE_TO_LATE,63,303,0.9141914191419142,0.9174917491749175,0.0033003300330033403,3,2
B_EARLY_MIDDLE_TO_LATE,68,302,0.652317880794702,0.6721854304635762,0.019867549668874163,8,2
B_EARLY_MIDDLE_TO_LATE,7,303,0.9636963696369637,0.9636963696369637,0.0,1,1
B_EARLY_MIDDLE_TO_LATE,71,305,0.8590163934426229,0.8557377049180328,-0.003278688524590123,4,5
B_EARLY_MIDDLE_TO_LATE,72,282,0.8617021276595744,0.8581560283687943,-0.0035460992907800915,1,2
B_EARLY_MIDDLE_TO_LATE,76,270,0.8629629629629629,0.8703703703703703,0.007407407407407418,5,3
B_EARLY_MIDDLE_TO_LATE,77,290,0.2655172413793103,0.2689655172413793,0.0034482758620689724,5,4
B_EARLY_MIDDLE_TO_LATE,78,306,0.8986928104575164,0.9052287581699346,0.006535947712418277,5,3
B_EARLY_MIDDLE_TO_LATE,80,309,0.8317152103559871,0.8478964401294499,0.016181229773462813,5,0
B_EARLY_MIDDLE_TO_LATE,81,258,0.8643410852713178,0.8682170542635659,0.003875968992248069,3,2
B_EARLY_MIDDLE_TO_LATE,86,300,0.7133333333333334,0.7033333333333334,-0.010000000000000009,1,4
B_EARLY_MIDDLE_TO_LATE,89,307,0.8078175895765473,0.8208469055374593,0.013029315960912058,8,4
B_EARLY_MIDDLE_TO_LATE,9,303,0.8943894389438944,0.9042904290429042,0.009900990099009799,5,2
B_EARLY_MIDDLE_TO_LATE,90,300,0.9466666666666667,0.9466666666666667,0.0,2,2
B_EARLY_MIDDLE_TO_LATE,92,216,0.8611111111111112,0.8472222222222222,-0.01388888888888895,1,4
B_EARLY_MIDDLE_TO_LATE,96,286,0.8356643356643356,0.8216783216783217,-0.013986013986013957,4,8
B_EARLY_MIDDLE_TO_LATE,97,290,0.5103448275862069,0.5310344827586206,0.020689655172413723,8,2
B_EARLY_MIDDLE_TO_LATE,98,306,0.9738562091503268,0.9705882352941176,-0.0032679738562091387,0,1
