rank_representatives,feature,rank_discriminability,score_min,rank_temporal_stability,temporal_stability_score,rank_site_persistence,site_persistence_score,cluster_id,cluster_size,cluster_members,min_similarity_to_cluster,dtp_min,dtp_geometric_mean,dtp_arithmetic_mean,dtp_balance_gap,rank_within_cluster,is_cluster_representative,pareto_front
90,tam_1s_in_min,303,0.052518756698821,81,0.6736334405144695,252,0.2813504823151125,135,1,tam_1s_in_min,1.0,0.052518756698821,0.215110650133949,0.33583422650946765,0.6211146838156485,1,True,9
91,tam_1s_out_min,304,0.0466237942122186,40,0.7818863879957126,253,0.2813504823151125,136,1,tam_1s_out_min,1.0,0.0466237942122186,0.21726993939993539,0.3699535548410146,0.735262593783494,1,True,9
92,pps_w10_std,154,0.4887459807073955,191,0.4244372990353697,188,0.4188102893890675,120,1,pps_w10_std,1.0,0.4188102893890675,0.4428989948672533,0.44399785637727757,0.069935691318328,1,True,10
93,ngrams_3_topk_cumfrac,159,0.4737406216505895,181,0.4480171489817792,190,0.4155948553054662,110,1,ngrams_3_topk_cumfrac,1.0,0.4155948553054662,0.4451453168989097,0.445784208645945,0.058145766345123306,1,True,10
94,ngrams_2_entropy,181,0.397642015005359,205,0.3912111468381565,171,0.5040192926045016,102,1,ngrams_2_entropy,1.0,0.3912111468381565,0.42800635328344194,0.43095748481600565,0.11280814576634512,1,True,10
95,first30_in_total_ratio,292,0.0739549839228295,176,0.4839228295819935,242,0.2813504823151125,17,3,first30_in_total_ratio|first30_out_in_ratio|first30_out_total_ratio,1.0,0.0739549839228295,0.2159386626109457,0.2797427652733118,0.409967845659164,1,True,10
96,ngrams_3_entropy,185,0.3858520900321543,211,0.3815648445873525,199,0.3585209003215434,29,2,ngrams_3_entropy|ngrams_4_entropy,0.9833585575193496,0.3585209003215434,0.3751179933548014,0.3753126116470167,0.027331189710610937,1,True,11
97,burst_durations_mean,206,0.3269024651661307,218,0.3612004287245445,176,0.4847266881028939,52,1,burst_durations_mean,1.0,0.3269024651661307,0.385378777595371,0.3909431939978563,0.15782422293676318,1,True,11
98,ngrams_2_top4_frac,173,0.4297963558413719,229,0.2979635584137192,191,0.409967845659164,105,1,ngrams_2_top4_frac,1.0,0.2979635584137192,0.3744483250367288,0.379242586638085,0.1318327974276527,1,True,11
99,sizes_p75,215,0.2915326902465165,207,0.3896034297963558,198,0.3721864951768489,131,1,sizes_p75,1.0,0.2915326902465165,0.34835620241303505,0.35110753840657366,0.0980707395498393,1,True,11
100,mean_burst_size_in,201,0.3344051446945337,233,0.2722400857449089,180,0.4630225080385852,100,1,mean_burst_size_in,1.0,0.2722400857449089,0.34802387804491736,0.35655591282600924,0.1907824222936763,1,True,11
101,sizes_skew,184,0.3858520900321543,208,0.3858520900321543,257,0.2717041800643087,133,1,sizes_skew,1.0,0.2717041800643087,0.343278031670863,0.34780278670953907,0.11414790996784563,1,True,11
102,iat_std_in,190,0.3665594855305465,238,0.2615219721329045,189,0.4180064308681672,95,1,iat_std_in,1.0,0.2615219721329045,0.3421988423974862,0.3486959628438728,0.15648445873526268,1,True,11
103,burst_durations_prop_gt_2s,250,0.2047159699892818,197,0.417470525187567,201,0.357717041800643,59,1,burst_durations_prop_gt_2s,1.0,0.2047159699892818,0.31268404687873785,0.3266345123258306,0.2127545551982852,1,True,11
104,times_mean,191,0.3644158628081457,262,0.1897106109324758,172,0.5032154340836013,47,2,times_mean|times_median,0.9657317645535614,0.1897106109324758,0.32644820347864434,0.3524473026080743,0.3135048231511255,1,True,11
105,concentration_10pct,157,0.480171489817792,264,0.187566988210075,200,0.357717041800643,23,2,bytes_first10pct|concentration_10pct,0.9797891945618896,0.187566988210075,0.31819801685080185,0.34181850660950336,0.292604501607717,1,True,11
106,sizes_p90,276,0.1339764201500536,186,0.4346195069667738,251,0.2813504823151125,132,1,sizes_p90,1.0,0.1339764201500536,0.25397740569315524,0.28331546981064665,0.30064308681672025,1,True,11
107,packets_last25pct,186,0.3794212218649518,225,0.337620578778135,211,0.3191318327974276,36,2,bytes_last25pct|packets_last25pct,0.9981307352441372,0.3191318327974276,0.3444875664428824,0.3453912111468381,0.060289389067524235,1,True,12
108,burst_durations_cv,216,0.2883172561629153,214,0.3719185423365487,220,0.2885852090032154,48,1,burst_durations_cv,1.0,0.2883172561629153,0.313952668304749,0.3162736691675598,0.08360128617363338,1,True,12
109,sizes_mean,174,0.4297963558413719,239,0.2615219721329045,205,0.3424437299035369,128,1,sizes_mean,1.0,0.2615219721329045,0.33763959972522406,0.34458735262593776,0.16827438370846737,1,True,12
110,burst_durations_std,230,0.2566988210075027,231,0.2781350482315112,187,0.4208199356913183,22,2,burst_durations_std|burst_durations_var,1.0,0.2566988210075027,0.3108794150106817,0.31855126831011077,0.16412111468381563,1,True,12
111,sizes_std,210,0.3043944265809217,215,0.3687031082529475,263,0.2540192926045016,134,1,sizes_std,1.0,0.2540192926045016,0.30548746816222805,0.30903894247945696,0.11468381564844587,1,True,12
112,pps_w10_min,189,0.3687031082529475,219,0.3579849946409432,266,0.2443729903536977,119,1,pps_w10_min,1.0,0.2443729903536977,0.31832074437658203,0.3236870310825295,0.1243301178992498,1,True,12
