fold,site_label,n,v1_accuracy,v2_accuracy,delta_accuracy,v2_only_correct_n,v1_only_correct_n
A_EARLY_TO_MIDDLE,54,328,0.8932926829268293,0.8932926829268293,0.0,1,1
A_EARLY_TO_MIDDLE,55,321,0.8535825545171339,0.8753894080996885,0.02180685358255452,7,0
A_EARLY_TO_MIDDLE,57,269,0.10037174721189591,0.10037174721189591,0.0,0,0
A_EARLY_TO_MIDDLE,6,286,0.8181818181818182,0.8111888111888111,-0.006993006993007089,2,4
A_EARLY_TO_MIDDLE,60,332,0.7831325301204819,0.7831325301204819,0.0,7,7
A_EARLY_TO_MIDDLE,61,330,0.9606060606060606,0.9484848484848485,-0.012121212121212088,0,4
A_EARLY_TO_MIDDLE,63,331,0.879154078549849,0.8580060422960725,-0.02114803625377648,0,7
A_EARLY_TO_MIDDLE,68,330,0.6696969696969697,0.6575757575757576,-0.012121212121212088,8,12
A_EARLY_TO_MIDDLE,7,328,0.9146341463414634,0.9024390243902439,-0.012195121951219523,0,4
A_EARLY_TO_MIDDLE,71,329,0.6170212765957447,0.6139817629179332,-0.003039513677811523,0,1
A_EARLY_TO_MIDDLE,72,304,0.8125,0.8289473684210527,0.016447368421052655,5,0
A_EARLY_TO_MIDDLE,76,296,0.8445945945945946,0.8513513513513513,0.006756756756756688,3,1
A_EARLY_TO_MIDDLE,77,302,0.2251655629139073,0.2251655629139073,0.0,0,0
A_EARLY_TO_MIDDLE,78,334,0.49101796407185627,0.48502994011976047,-0.0059880239520958,8,10
A_EARLY_TO_MIDDLE,80,334,0.7305389221556886,0.718562874251497,-0.0119760479041916,1,5
A_EARLY_TO_MIDDLE,81,260,0.7423076923076923,0.7730769230769231,0.03076923076923077,8,0
A_EARLY_TO_MIDDLE,86,329,0.7173252279635258,0.7203647416413373,0.003039513677811523,1,0
A_EARLY_TO_MIDDLE,89,330,0.7151515151515152,0.7363636363636363,0.021212121212121127,8,1
A_EARLY_TO_MIDDLE,9,328,0.823170731707317,0.8109756097560976,-0.012195121951219412,2,6
A_EARLY_TO_MIDDLE,90,318,0.8553459119496856,0.8584905660377359,0.0031446540880503138,4,3
A_EARLY_TO_MIDDLE,92,235,0.8638297872340426,0.8680851063829788,0.004255319148936176,4,3
A_EARLY_TO_MIDDLE,96,330,0.7151515151515152,0.7090909090909091,-0.0060606060606061,3,5
A_EARLY_TO_MIDDLE,97,311,0.3408360128617363,0.33762057877813506,-0.003215434083601254,0,1
A_EARLY_TO_MIDDLE,98,326,0.9478527607361963,0.941717791411043,-0.006134969325153339,0,2
B_EARLY_MIDDLE_TO_LATE,0,271,0.8302583025830258,0.8265682656826568,-0.0036900369003689537,1,2
B_EARLY_MIDDLE_TO_LATE,10,302,0.7615894039735099,0.7582781456953642,-0.0033112582781457123,10,11
B_EARLY_MIDDLE_TO_LATE,102,299,0.7357859531772575,0.782608695652174,0.04682274247491647,14,0
B_EARLY_MIDDLE_TO_LATE,104,304,0.625,0.6611842105263158,0.03618421052631582,13,2
B_EARLY_MIDDLE_TO_LATE,105,305,0.9737704918032787,0.9737704918032787,0.0,0,0
