fold,site_label,n_queries,xgb_accuracy,fusion_accuracy,delta_accuracy,fusion_only_correct_n,xgb_only_correct_n,net_correct_n
A_EARLY_TO_MIDDLE,90,318,0.8301886792452831,0.8553459119496856,0.02515723270440251,16,8,8
A_EARLY_TO_MIDDLE,92,235,0.8425531914893617,0.8638297872340426,0.021276595744680882,14,9,5
A_EARLY_TO_MIDDLE,96,330,0.6636363636363637,0.7151515151515152,0.051515151515151514,20,3,17
A_EARLY_TO_MIDDLE,97,311,0.33440514469453375,0.3408360128617363,0.006430868167202564,2,0,2
A_EARLY_TO_MIDDLE,98,326,0.9294478527607362,0.9478527607361963,0.018404907975460127,7,1,6
B_EARLY_MIDDLE_TO_LATE,0,271,0.8302583025830258,0.8302583025830258,0.0,9,9,0
B_EARLY_MIDDLE_TO_LATE,10,302,0.6887417218543046,0.7615894039735099,0.07284768211920534,36,14,22
B_EARLY_MIDDLE_TO_LATE,102,299,0.6153846153846154,0.7357859531772575,0.12040133779264206,39,3,36
B_EARLY_MIDDLE_TO_LATE,104,304,0.6611842105263158,0.625,-0.03618421052631582,19,30,-11
B_EARLY_MIDDLE_TO_LATE,105,305,0.9508196721311475,0.9737704918032787,0.022950819672131195,8,1,7
B_EARLY_MIDDLE_TO_LATE,106,282,0.900709219858156,0.9468085106382979,0.046099290780141855,14,1,13
B_EARLY_MIDDLE_TO_LATE,107,266,0.868421052631579,0.8984962406015038,0.03007518796992481,13,5,8
B_EARLY_MIDDLE_TO_LATE,108,279,0.974910394265233,0.978494623655914,0.0035842293906810374,1,0,1
B_EARLY_MIDDLE_TO_LATE,109,292,0.8458904109589042,0.9006849315068494,0.0547945205479452,16,0,16
B_EARLY_MIDDLE_TO_LATE,11,285,0.9122807017543859,0.9228070175438596,0.010526315789473717,5,2,3
B_EARLY_MIDDLE_TO_LATE,110,223,0.515695067264574,0.5112107623318386,-0.004484304932735439,1,2,-1
B_EARLY_MIDDLE_TO_LATE,113,307,0.8664495114006515,0.8794788273615635,0.013029315960911947,7,3,4
B_EARLY_MIDDLE_TO_LATE,117,305,0.6,0.6,0.0,2,2,0
B_EARLY_MIDDLE_TO_LATE,12,304,0.7335526315789473,0.7138157894736842,-0.019736842105263164,11,17,-6
B_EARLY_MIDDLE_TO_LATE,14,265,0.6075471698113207,0.6679245283018868,0.060377358490566024,21,5,16
B_EARLY_MIDDLE_TO_LATE,18,304,0.8947368421052632,0.9046052631578947,0.009868421052631526,6,3,3
B_EARLY_MIDDLE_TO_LATE,2,298,0.8993288590604027,0.9899328859060402,0.09060402684563751,27,0,27
B_EARLY_MIDDLE_TO_LATE,21,295,0.8847457627118644,0.9084745762711864,0.023728813559321993,9,2,7
B_EARLY_MIDDLE_TO_LATE,24,244,0.860655737704918,0.8770491803278688,0.016393442622950838,8,4,4
B_EARLY_MIDDLE_TO_LATE,25,304,0.9177631578947368,0.9342105263157895,0.016447368421052655,9,4,5
B_EARLY_MIDDLE_TO_LATE,27,303,0.0594059405940594,0.09570957095709572,0.03630363036303631,15,4,11
B_EARLY_MIDDLE_TO_LATE,28,294,0.9693877551020408,0.9863945578231292,0.017006802721088454,5,0,5
